espèce,description
Gomphrena celosioides,1. Gomphrena celosioides Martius
Manilkara Zenkeri,1. Manilkara Zenkeri Lecomte ex Aubr. et Pellegr.
Manilkara Welwitschii,2. Manilkara Welwitschii (Engl.) Dubard
Manilkara Letouzei,3. Manilkara Letouzei Aubr.
Manilkara multinervis,4. Manilkara multinervis (Baker) Dubard
Manilkara argentea,5. Manilkara argentea Pierre ex Dubard
Manilkara Pellegriniana,6. Manilkara Pellegriniana Tisserant et Sillans
Manilkara lacera,7. Manilkara lacera (Bak.) Dubard
Manilkara Fouilloyana,8. Manilkara Fouilloyana Aubr. et Pellegr.
Gambeya Lacourtiana,1. Gambeya Lacourtiana (De Wild.) Aubr. et Pellegr.
Gambeya boukokoensis,2. Gambeya boukokoensis Aubr. et Pellegr.
Gambeya gigantea,3. Gambeya gigantea (A. Chev.) Aubr. et Pellegr.
Gambeya subnuda,5. Gambeya subnuda (Bak.) Pierre
Gambeya africana,6. Gambeya africana (Baker) Pierre
Gambeya perpulchra,7. Gambeya perpulchra (Mildbr.) Aubr. et Pellegr.
Gambeya Beguei,8. Gambeya Beguei (Aubr. et Pellegr.) Aubr. et Pellegr.
Donella ogowensis,1. Donella ogowensis (A. Chev.) Aubr. et Pellegr.
Donella pruniformis,3. Donella pruniformis (Pierre ex Engl.) Aubr. et Pellegr.
Telfairia occidenlalis,1. Telfairia occidenlalis Hooker fil.
Telfairia Batesii,2. Telfairia Batesii Keraudren
Zehneria Thwaitesii,1. Zehneria Thwaitesii (Schweinf.) C. Jeffrey
Zehneria minutiflora,2. Zehneria minutiflora (Cogn.) Jeffrey
Zehneria capillacea,3. Zehneria capillacea (Schumach.) C. Jeffrey
Zehneria Keayana,5. Zehneria Keayana R. & A. Fernandes
Zehneria scabra,6. Zehneria scabra (L. f.) Sonder
Kedrostis fœtidissima,1. Kedrostis fœtidissima (Jacquin) Cogniaux
Kedrostis hirtella,2. Kedrostis hirtella (Naudin) Cogniaux
Lagenaria siceraria,1. Lagenaria siceraria (Molina) Standley
Lagenaria guineensis,2. Lagenaria guineensis (G. Don) C. Jeffrey
Lagenaria breviflora,3. Lagenaria breviflora (Benth.) Roberty
Raphidiocystis phyllocalyx,1. Raphidiocystis phyllocalyx Jeffrey & Keraudren
Raphidiocystis Jeffreyana,2. Raphidiocystis Jeffreyana R. & A. Fernandes
Raphidiocystis Mannii,3. Raphidiocystis Mannii Hooker fil.
Cucurbita maxima,2. Cucurbita maxima Duchesne ex Lamarck
Cucurbita moschata,3. Cucurbita moschata (Duch. ex Lam.) Duch. ex Poiret
Coccinia grandis,1. Coccinia grandis (L.) Yoigt
Coccinia Barteri,"2. Coccinia Barteri (Hook, f.) Keay"
Coccinia subhastata,"3. Coccinia subhastata Keraudren, sp. nov."
Coccinia adoensis,"5. Coccinia adoensis (Höchst, ex A. Rich.) Cogniaux"
Cucumis hirsutus,2. Cucumis hirsutus Sonder
Cucumis Figarei,5. Cucumis Figarei Delile ex Naudin
Citrullus lanatus,1. Citrullus lanatus (Thunberg) Mansfeld
Momordica enneaphylla,1. Momordica enneaphylla Cogniaux
Momordica Friesiorum,2. Momordica Friesiorum (Harms) C. Jeffrey
Momordica Jeffreyana,6. Momordica Jeffreyana Keraudren
Momordica camerounensis,7. Momordica camerounensis Keraudren
Momordica Charantia,8. Momordica Charantia Linné
Momordica angustisepala,9. Momordica angustisepala Harms
Griffonia physocarpa,1. Griffonia physocarpa Bâillon
Griffonia speciosa,2. Griffonia speciosa (Welwitsch ex Bentham) Taubert
Piliostigma Thonningii,1. Piliostigma Thonningii (Schumacher) Milne-Redhead
Piliostigma reticulatum,2. Piliostigma reticulatum (De Candolle) Hochstetter
Amphimas ferrugineus,1. Amphimas ferrugineus Pierre ex Pellegrin
Amphimas pterocarpoides,2. Amphimas pterocarpoides Harms
Dialium Dinklagei,5. Dialium Dinklagei Harms
Dialium Zenkeri,6. Dialium Zenkeri Harms
Cassia mimosoides,2. Cassia mimosoides Linné
Cassia Kirkii,3. Cassia Kirkii Oliver
Cassia italica,7. Cassia italica (Miller) Lamarck ex F.W. Andrews
Cassia Sieberana,8. Cassia Sieberana De Candolle1
Cassia obtusifolia,9. Cassia obtusifolia Linné
Gilletiodendron Mildbraedii,1. Gilletiodendron Mildbraedii (Harms) Vermoesen
Plagiosiphon emarginatus,1. Plagiosiphon emarginatus (Hutchinson
Plagiosiphon longitubus,2. Plagiosiphon longitubus (Harms) Léonard
Plagiosiphon multijugus,3. Plagiosiphon multijugus (Harms) J. Léonard
Plagiosiphon discifer,4. Plagiosiphon discifer Harms
Hymenostegia brachyura,2. Hymenostegia brachyura (Harms) Léonard
Hymenostegia Breteleri,"3. Hymenostegia Breteleri Aubréville, sp. nov."
Hymenostegia Felicis,5. Hymenostegia Felicis (Chevalier) Léonard
Afzelia africana,2. Afzelia africana Smith ex Persoon
Oxystigma Buchholzii,2. Oxystigma Buchholzii Harms
Copaifera Mildbraedii,1. Copaifera Mildbraedii Harms
Copaifera religiosa,2. Copaifera religiosa Léonard
Detarium microcarpum,1. Detarium microcarpum Guillemin & Perrottet
Detarium macrocarpum,2. Detarium macrocarpum Harms
Tessmannia anomala,1. Tessmannia anomala (Micheli) Harms
Tessmannia africana,2. Tessmannia africana Harms
Daniellia Oliveri,1. Daniellia Oliveri (Rolfe) Hutchinson & Dalziel
Daniellia oblonga,3. Daniellia oblonga Oliver
Isomacrolobium leptorrhachis,1. Isomacrolobium leptorrhachis (Harms) Aubréville &
Isomacrolobium isopetalum,2. Isomacrolobium isopetalum (Harms) Aubréville
Anthonotha ferruginea,1. Anthonotha ferruginea (Harms) Léonard
Anthonotha lamprophylla,2. Anthonotha lamprophylla (Harms) Léonard
Anthonotha fragrans,3. Anthonotha fragrans (Baker fil.) Exell & Hillcoat
Gilbertiodendron ogoouense,1. Gilbertiodendron ogoouense (Pellegrin) Léonard
Gilbertiodendron brachystegioides,2. Gilbertiodendron brachystegioides (Harms) Léonard
